
V	13030
I	-2163
CE	-4395
SOC	995
TTG	11814
Alarm	Off
Relay	Off
AR	0
BMV	600S
FW	208
Checksum	ò
H1	-4395
H2	-4395
H3	0
H4	0
H5	0
H6	-5379
H7	12969
H8	14291
H9	598696
H10	1
H11	0
H12	0
Checksum	I
V	13032
I	-2162
CE	-4396
SOC	995
TTG	11807
Alarm	Off
Relay	Off
AR	0
BMV	600S
FW	208
Checksum	î
H1	-4396
H2	-4396
H3	0
H4	0
H5	0
H6	-5380
H7	12969
H8	14291
H9	598697
H10	1
H11	0
H12	0
Checksum	N
